Institution,Rue,Lieu,ZIP,Email,Tel
Theologisches Seminar der Universität Zürich / Bibliothek,Kirchgasse 9,Zürich,8001,bibliothek@theol.uzh.ch,(044) 634-47-15
Thomas Mann-Archiv,"Leopold-Ruzicka-Weg 4, Gebäude HCP/G",Zürich,8093,tma@library.ethz.ch,044 6324045
Tibet-Institut / Bibliothek,Wildbergstrasse,Rikon,8486,bibliothek@tibet-institut.ch,052 3831729
Tonhalle-Gesellschaft / Bibliothek,Tonhalle Maag / Zahnradstrasse 22,Zürich,8005,orchesterbibliothek@tonhalle.ch,044 206 34 49
Tox Info Suisse,Freiestrasse 16,Zürich,8032,Daniele.Chanson@toxinfo.ch,044/2516666
Universität Zürich Bibliothek der Vetsuisse Fakultät,Winterthurerstrasse 260,Zürich,8057,services@vetbiblio.uzh.ch,044/6358125
Universität Zürich / Bibliothek für Volkswirtschaft,Rämistrasse 71,Zürich,8006,library@econ.uzh.ch,044-634-21-37
Universität Zürich / EBPI / Bibliothek,Hirschengraben 84,Zürich,8001,bibliothek@ebpi.uzh.ch,044 634 46 26
Universität Zürich Hauptbibliothek - Medizin Careum,Gloriastrasse 16,Zürich,8006,medizin@hbz.uzh.ch,044/634.50.50
Universität Zürich Hauptbibliothek - Naturwissenschaften,Winterthurerstrasse 190,Zürich,8057,naturwissenschaften@hbz.uzh.ch,(044) 635-41-51
Universität Zürich - Institut für Archäologie / Fachbereich Klassische Archäologie / Bibliothek,Rämistrasse 73,Zürich,8006,archinst@archinst.uzh.ch,044 634 28 11
Universität Zürich / Institut für Erziehungswissenschaft / Bibliothek,Freiestrasse 36,Zürich,8032,bibl@ife.uzh.ch,044-634-27-65
Universität Zürich: Phonogrammarchiv,Rämistrasse 71,Zürich,8006,kontakt@paz.uzh.ch,044/634.39.90
Universitäts-Kinderspital Zürich - Bibliothek,Steinwiesstrasse 75,Zürich,8032,kispi.bibliothek@kispi.uzh.ch,044-266-72-45
Unternehmensarchiv AXA Winterthur,Pionierstrasse 3,Winterthur,8401,karin.fink@axa-winterthur.ch,(058) 215-46-28
UZH Archiv,Rämistrasse 71,Zürich,8006,kontakt@archiv.uzh.ch,044 6342326
Völkerkundemuseum Universität Zürich / Bibliothek,Pelikanstrasse 40,Zürich,8001,kitab@vmz.uzh.ch,044 6349031
Völkerkundemuseum Universität Zürich / Sammlung und Archive,Pelikanstrasse 40,Zürich,8001,musethno@vmz.uzh.ch,044/634.90.10
Winterthurer Bibliotheken / Sammlung Winterthur,Obere Kirchgasse 6,Winterthur,8401,winbib.sammlung@win.ch,052 267 51 55
Zentralbibliothek Zürich,Zähringerplatz 6,Zürich,8001,zb@zb.uzh.ch,(044) 268-31-00
Zentrum für Gehör und Sprache Zürich / Bibliothek,Frohalpstrasse 78,Zürich,8038,info@zgsz.ch,043/3998939
ZHAW Hochschulbibliothek Wädenswil,Grüental,Wädenswil,8820,waedenswil.hsb@zhaw.ch,058 9345999
ZHAW Hochschulbibliothek Wintertur,Turbinenstrasse 2,Winterthur,8401,winterthur.hsb@zhaw.ch,058 934 75 00
ZHAW Hochschulbibliothek Zürich,Angew. Psychologie / Soziale Arbeit / Toni-Areal / Pfingstweidstrasse 96,Zürich,8037,zuerich.hsb@zhaw.ch,058/934.86.86
"Zürcher Hochschule der Künste, Medien -und Informationszentrum MIZ Archiv ZHdK","Toni-Areal, Pfingstweidstrasse 96",Zürich,8005,miz.archiv@zhdk.ch,(043) 446-44-60
"Zürcher Hochschule der Künste, Medien- und Informationszentrum MIZ Bibliothek","Toni-Areal, Pfingstweidstrasse 96",Zürich,8005,miz.info@zhdk.ch,043/446.44.70
Zürcher James Joyce Stiftung,Augustinergasse 9,Zürich,8001,info@joycefoundation.ch,044/2118301
Zürcher Kantonalbank InfoCenter,Bahnhofstrasse 9,Zürich,8010,infocenter@zkb.ch,044/2924526
